date,week,points,team,rolling_ppg
2025-08-19,1,3,Real Madrid,3.0
2025-08-24,2,3,Real Madrid,3.0
2025-08-30,3,3,Real Madrid,3.0
2025-09-13,4,3,Real Madrid,3.0
2025-09-20,5,3,Real Madrid,3.0
2025-09-23,6,3,Real Madrid,3.0
2025-09-27,7,0,Real Madrid,2.4
2025-10-04,8,3,Real Madrid,2.4
2025-10-19,9,3,Real Madrid,2.4
2025-10-26,10,3,Real Madrid,2.4
2025-11-01,11,3,Real Madrid,2.4
2025-11-09,12,1,Real Madrid,2.6
2025-11-23,13,1,Real Madrid,2.2
2025-11-30,14,1,Real Madrid,1.8
2025-12-03,19,3,Real Madrid,1.8
2025-12-07,15,0,Real Madrid,1.2
2025-12-14,16,3,Real Madrid,1.6
2025-12-20,17,3,Real Madrid,2.0
2026-01-04,18,3,Real Madrid,2.4
2026-01-17,20,3,Real Madrid,2.4
2026-01-24,21,3,Real Madrid,3.0
2026-02-01,22,3,Real Madrid,3.0
2026-02-08,23,3,Real Madrid,3.0
2026-02-14,24,3,Real Madrid,3.0
2026-02-21,25,0,Real Madrid,2.4
2026-03-02,26,0,Real Madrid,1.8
2026-03-06,27,3,Real Madrid,1.8
2026-03-14,28,3,Real Madrid,1.8
2026-03-22,29,3,Real Madrid,1.8
2026-04-04,30,0,Real Madrid,1.8
2026-04-10,31,1,Real Madrid,2.0
2026-04-21,33,3,Real Madrid,2.0
2026-04-24,32,1,Real Madrid,1.6
2026-05-03,34,3,Real Madrid,1.6
2026-05-10,35,0,Real Madrid,1.6
2026-05-14,36,3,Real Madrid,2.0
2026-05-17,37,3,Real Madrid,2.0
2026-05-23,38,3,Real Madrid,2.4
2025-08-16,1,3,Barcelona,3.0
2025-08-23,2,3,Barcelona,3.0
2025-08-31,3,1,Barcelona,2.3333333333333335
2025-09-14,4,3,Barcelona,2.5
2025-09-21,5,3,Barcelona,2.6
2025-09-25,6,3,Barcelona,2.6
2025-09-28,7,3,Barcelona,2.6
2025-10-05,8,0,Barcelona,2.4
2025-10-18,9,3,Barcelona,2.4
2025-10-26,10,0,Barcelona,1.8
2025-11-02,11,3,Barcelona,1.8
2025-11-09,12,3,Barcelona,1.8
2025-11-22,13,3,Barcelona,2.4
2025-11-29,14,3,Barcelona,2.4
2025-12-02,19,3,Barcelona,3.0
2025-12-06,15,3,Barcelona,3.0
2025-12-13,16,3,Barcelona,3.0
2025-12-21,17,3,Barcelona,3.0
2026-01-03,18,3,Barcelona,3.0
2026-01-18,20,0,Barcelona,2.4
2026-01-25,21,3,Barcelona,2.4
2026-01-31,22,3,Barcelona,2.4
2026-02-07,23,3,Barcelona,2.4
2026-02-16,24,0,Barcelona,1.8
2026-02-22,25,3,Barcelona,2.4
2026-02-28,26,3,Barcelona,2.4
2026-03-07,27,3,Barcelona,2.4
2026-03-15,28,3,Barcelona,2.4
2026-03-22,29,3,Barcelona,3.0
2026-04-04,30,3,Barcelona,3.0
2026-04-11,31,3,Barcelona,3.0
2026-04-22,33,3,Barcelona,3.0
2026-04-25,32,3,Barcelona,3.0
2026-05-02,34,3,Barcelona,3.0
2026-05-10,35,3,Barcelona,3.0
2026-05-13,36,0,Barcelona,2.4
2026-05-17,37,3,Barcelona,2.4
2026-05-23,38,0,Barcelona,1.8
2025-08-17,1,0,Atlético Madrid,0.0
2025-08-23,2,1,Atlético Madrid,0.5
2025-08-30,3,1,Atlético Madrid,0.6666666666666666
2025-09-13,4,3,Atlético Madrid,1.25
2025-09-21,5,1,Atlético Madrid,1.2
2025-09-24,6,3,Atlético Madrid,1.8
2025-09-27,7,3,Atlético Madrid,2.2
2025-10-05,8,1,Atlético Madrid,2.2
2025-10-18,9,3,Atlético Madrid,2.2
2025-10-27,10,3,Atlético Madrid,2.6
2025-11-01,11,3,Atlético Madrid,2.6
2025-11-08,12,3,Atlético Madrid,2.6
2025-11-23,13,3,Atlético Madrid,3.0
2025-11-29,14,3,Atlético Madrid,3.0
2025-12-02,19,0,Atlético Madrid,2.4
2025-12-06,15,0,Atlético Madrid,1.8
2025-12-13,16,3,Atlético Madrid,1.8
2025-12-21,17,3,Atlético Madrid,1.8
2026-01-04,18,1,Atlético Madrid,1.4
2026-01-18,20,3,Atlético Madrid,2.0
2026-01-25,21,3,Atlético Madrid,2.6
2026-01-31,22,1,Atlético Madrid,2.2
2026-02-08,23,0,Atlético Madrid,1.6
2026-02-15,24,0,Atlético Madrid,1.4
2026-02-21,25,3,Atlético Madrid,1.4
2026-02-28,26,3,Atlético Madrid,1.4
2026-03-07,27,3,Atlético Madrid,1.8
2026-03-14,28,3,Atlético Madrid,2.4
2026-03-22,29,0,Atlético Madrid,2.4
2026-04-04,30,0,Atlético Madrid,1.8
2026-04-11,31,0,Atlético Madrid,1.2
2026-04-22,33,0,Atlético Madrid,0.6
2026-04-25,32,3,Atlético Madrid,0.6
2026-05-02,34,3,Atlético Madrid,1.2
2026-05-09,35,0,Atlético Madrid,1.2
2026-05-12,36,3,Atlético Madrid,1.8
2026-05-17,37,3,Atlético Madrid,2.4
2026-05-24,38,0,Atlético Madrid,1.8
